ss,Unnamed1,name,price,images,rating,product_description,number_of_reviews,name_clean,category_clean
13,61,"RONGJU 20 Pack Replacement Parts for iRobot Roomba i7 i7+ i3 i3+ i4 i4+ i6 i6+ i8 i8+ j7 j7+/Plus E5 E6 E7 Vacuum Cleaner, 2Pack Rubber Brushes 6 Pack HEPA Filters 6 Pack Side Brushes 6 Vacuum Bags",$38.99,"['https://m.media-amazon.com/images/I/71o3UJ6s7eL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71o3UJ6s7eL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71o3UJ6s7eL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71o3UJ6s7eL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71o3UJ6s7eL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71o3UJ6s7eL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/71o3UJ6s7eL._AC_SY355_.jpg']",4.4 out of 5,Home & Kitchen › Vacuums & Floor Care › Vacuum Parts & Accessories,"2,588 global ratings","['pack', 'irobot', 'vacuum', 'filter', 'bag', 'hepa', 'roomba', 'brush', 'replac', 'side', 'part', 'rubber', 'cleaner', 'rongju']","['vacuum', 'care', 'floor', 'kitchen', 'home', 'accessori', 'part']"
14,71,"Steamer for Clothes,1800W 20s Heat Up Handheld Garment Steamer,2 Steam Options Fabric Clothing Steamer, Fabric Wrinkles Remover,Steamer with LCD Smart Screen,Upgraded Nozzle and 350ml Water Tank",$42.99,"['https://m.media-amazon.com/images/I/61iTeNPcMZL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61iTeNPcMZL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61iTeNPcMZL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61iTeNPcMZL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61iTeNPcMZL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61iTeNPcMZL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61iTeNPcMZL._AC_SX466_.jpg']",4.5 out of 5,Home & Kitchen › Irons & Steamers › Garment Steamers,246 global ratings,"['option', 'steamer', 'water', 'screen', 'garment', 'nozzl', 'fabric', 'wrinkl', 'remov', 'tank', 'handheld', 'heat', 'lcd', 'cloth', 'steam', 'upgrad', 'smart']","['steamer', 'garment', 'kitchen', 'home', 'iron']"
15,72,"Fellow Stagg EKG Electric Gooseneck Kettle - Pour-Over Coffee and Tea Pot, Stainless Steel, Quick Heating, Matte Black, 0.9 Liter",$158.00,"['https://m.media-amazon.com/images/I/51MfuBJO2BL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/51MfuBJO2BL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/51MfuBJO2BL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/51MfuBJO2BL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/51MfuBJO2BL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/51MfuBJO2BL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/51MfuBJO2BL._AC_SY355_.jpg']",4.5 out of 5,"Home & Kitchen › Kitchen & Dining › Coffee, Tea & Espresso › Kettles & Tea Machines › Electric Kettles","3,829 global ratings","['steel', 'ekg', 'black', 'stagg', 'pourov', 'tea', 'pot', 'matt', 'quick', 'heat', 'electr', 'coffe', 'liter', 'gooseneck', 'stainless', 'kettl', 'fellow']","['tea', 'kitchen', 'home', 'dine', 'coffe', 'espresso', 'machin', 'electr', 'kettl']"
16,76,"Betty Crocker Countertop Pizza Maker, 1440-Watt Pizza Maker Machine for Home, BC-2958CR",$43.69,"['https://m.media-amazon.com/images/I/91DWTrtCG8L._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/91DWTrtCG8L._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/91DWTrtCG8L._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/91DWTrtCG8L._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/91DWTrtCG8L._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/91DWTrtCG8L._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/91DWTrtCG8L._AC_SX522_.jpg']",4.5 out of 5,Home & Kitchen › Kitchen & Dining › Small Appliances › Ovens & Toasters › Countertop Pizza Ovens,"5,642 global ratings","['pizza', 'countertop', 'maker', 'betti', 'machin', 'crocker', 'home']","['applianc', 'pizza', 'countertop', 'kitchen', 'toaster', 'home', 'dine', 'oven', 'small']"
17,82,"KitchenAid Classic Fruit Slicer, One Size, Red",$7.79,"['https://m.media-amazon.com/images/I/71ArWTa+EJL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/71ArWTa+EJL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71ArWTa+EJL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71ArWTa+EJL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71ArWTa+EJL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71ArWTa+EJL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71ArWTa+EJL._AC_SY355_.jpg']",4.7 out of 5,"Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Graters, Peelers & Slicers","2,997 global ratings","['fruit', 'size', 'slicer', 'kitchenaid', 'classic', 'red', 'one']","['peeler', 'gadget', 'slicer', 'grater', 'kitchen', 'utensil', 'home', 'dine']"
18,84,"Builder's Best 84049 SAF-T-Duct Zero Dryer Vent Periscope, Adjustable 0-5"" Length, 4"" Diameter x 8', Aluminum",$19.64,"['https://m.media-amazon.com/images/I/510ydL-LCES._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/510ydL-LCES._AC_SX450_.jpg', 'https://m.media-amazon.com/images/I/510ydL-LCES._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/510ydL-LCES._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/510ydL-LCES._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/510ydL-LCES._AC_SX355_.jpg', 'https://m.media-amazon.com/images/I/510ydL-LCES._AC_SX425_.jpg']",4 out of 5,Appliances › Parts & Accessories › Dryer Parts & Accessories › Vents,"2,230 global ratings","['best', 'aluminum', 'builder', 'adjust', 'dryer', 'length', 'periscop', 'diamet', 'zero', 'vent', 'x', 'saftduct']","['applianc', 'dryer', 'part', 'vent', 'accessori']"
19,90,"Dreo Air Fryer - 100℉ to 450℉, 4 Quart Hot Oven Cooker with 50 Recipes, 9 Cooking Functions on Easy Touch Screen, Preheat, Shake Reminder, 9-in-1 Digital Airfryer, Black, 4L (DR-KAF002)",$70.31,"['https://m.media-amazon.com/images/I/710xSR9vM0S._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/710xSR9vM0S._AC_SY550_.jpg', 'https://m.media-amazon.com/images/I/710xSR9vM0S._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/710xSR9vM0S._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/710xSR9vM0S._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/710xSR9vM0S._AC_SY879_.jpg', 'https://m.media-amazon.com/images/I/710xSR9vM0S._AC_SX522_.jpg']",4.7 out of 5,Home & Kitchen › Kitchen & Dining › Small Appliances › Fryers › Air Fryers,"2,757 global ratings","['black', 'fryer', 'remind', 'cook', 'function', 'air', 'digit', 'dreo', 'easi', 'touch', 'shake', 'quart', 'screen', 'hot', 'recip', 'preheat', 'airfryer', 'oven', 'cooker']","['applianc', 'fryer', 'kitchen', 'home', 'dine', 'small', 'air']"
20,93,"VacLife Handheld Vacuum Car Vacuum - Cordless Hand Vacuum, Model: H-106, Silver (VL106)",$49.99,"['https://m.media-amazon.com/images/I/61jpMFde9xL._AC_SX355_.jpg', 'https://m.media-amazon.com/images/I/61jpMFde9xL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61jpMFde9xL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61jpMFde9xL._AC_SX450_.jpg', 'https://m.media-amazon.com/images/I/61jpMFde9xL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61jpMFde9xL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61jpMFde9xL._AC_SX569_.jpg']",4.2 out of 5,Home & Kitchen › Vacuums & Floor Care › Vacuums › Handheld Vacuums,"18,656 global ratings","['vaclif', 'vacuum', 'hand', 'handheld', 'car', 'silver', 'cordless', 'model']","['vacuum', 'care', 'floor', 'handheld', 'kitchen', 'home']"
21,95,"AGLUCKY Ice Makers Countertop,Protable Ice Maker Machine with Handel,Self-Cleaning Ice Maker, 26Lbs/24H, 9 Ice Cubes Ready in 8 Mins, for Home/Office/Kitchen",,"['https://m.media-amazon.com/images/I/61yMBoKqZcL._SX425_.jpg', 'https://m.media-amazon.com/images/I/61yMBoKqZcL._SX522_.jpg', 'https://m.media-amazon.com/images/I/61yMBoKqZcL._SX342_.jpg', 'https://m.media-amazon.com/images/I/61yMBoKqZcL._SX466_.jpg', 'https://m.media-amazon.com/images/I/61yMBoKqZcL._SX385_.jpg']",5 out of 5,"Appliances › Refrigerators, Freezers & Ice Makers › Ice Makers",5 global ratings,"['cube', 'homeofficekitchen', 'min', 'readi', 'countertop', 'maker', 'selfclean', 'aglucki', 'machin', 'protabl', 'handel', 'ice']","['applianc', 'refriger', 'maker', 'ice', 'freezer']"
22,122,"60 Pcs Electric Stove Burner Covers, Disposable Aluminum Foil Drip Pan Liners, 6 inch and 8 inch Round Burner Liners Bibs to Keep Stove Top Clean from Oil and Food (30 Pcs 6’’, 30 Pcs 8’’)",$11.99,"['https://m.media-amazon.com/images/I/91ADZ0D5-tS._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/91ADZ0D5-tS._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/91ADZ0D5-tS._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/91ADZ0D5-tS._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/91ADZ0D5-tS._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/91ADZ0D5-tS._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/91ADZ0D5-tS._AC_SY450_.jpg']",4.3 out of 5,Appliances › Parts & Accessories › Range Parts & Accessories › Accessories,784 global ratings,"['food', 'electr', 'cover', 'bib', 'clean', 'top', 'aluminum', 'foil', 'stove', 'dispos', 'oil', 'keep', 'pan', 'liner', 'drip', 'inch', 'burner', 'round', 'pc']","['applianc', 'rang', 'accessori', 'part']"
